Sample number,Waterbody name,Beach name,Beach access number,Latitude,Longitude,Collection date,Collection time,Microcystin LR-equivalent concentration (µg/L),Total cyanobacterial cell count (cells/mL),Microcystis mcyE (copies/mL),Anabaena mcyE (copies/mL),Planktothrix mcyE (copies/mL),Sample Type,Description of water,Description of Water - Additional Notes,Turbidity,Colour,Evidence of bloom,Water temperature (°C),Wind direction,24 hr rainfall,24 hr rainfall amount (mm),
M171525,Wabamun Lake,Camp YoWoChAs,9350173,53.568609,-114.634589,28-Aug-17,11:30 AM,0.30,"27,482",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171286,Wabamun Lake,Village of Wabamun,9601221,53.555736,-114.467567,29-May-17,10:41 AM,0.13,0,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,17,SE,FALSE,0,
M171292,Wabamun Lake,Village of Wabamun,9601221,53.555736,-114.467567,26-Jun-17,No data,No data,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M171267,Wabamun Lake,Village of Wabamun,9601221,53.555736,-114.467567,10-Jul-17,6:40 AM,0.10,"337,857",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171280,Wabamun Lake,Village of Wabamun,9601221,53.555736,-114.467567,17-Jul-17,8:10 AM,0.12,"311,667",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,16.5,SW,FALSE,0,
M171272,Wabamun Lake,Village of Wabamun,9601221,53.555736,-114.467567,8-Aug-17,8:30 AM,0.11,"15,203",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,16,SW,FALSE,0,
M171523,Wabamun Lake,Village of Wabamun,9601221,53.555736,-114.467567,28-Aug-17,11:40 AM,0.17,562,No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17,SW,FALSE,0,
M171281,Wabamun Lake,Wabamun Lake Provincial Park,9350017,53.559908,-114.440267,12-Jul-17,10:05 AM,0.13,"460,331",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,No data,No wind,FALSE,0,
M171544,Wabamun Lake,Wabamun Lake Provincial Park,9350017,53.559908,-114.440267,9-Aug-17,9:30 AM,0.15,No data,No data,No data,No data,Composite,No data,No data,Moderate,Colourless,No evidence,No data,No wind,FALSE,0,
M171319,Wizard Lake,Jubilee Park,9601214,53.110954,-113.831375,29-May-17,12:03 PM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,15.5,NE,FALSE,0,
M171308,Wizard Lake,Jubilee Park,9601214,53.110954,-113.831375,26-Jun-17,12:50 PM,0.29,"3,250",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,19.0,NW,FALSE,0,
M171252,Wizard Lake,Jubilee Park,9601214,53.110954,-113.831375,10-Jul-17,12:30 PM,2.74,"174,673",No data,No data,No data,Composite,No data,No data,Clear,Colourless,Particles in water,22.7,SW,FALSE,0,
M171259,Wizard Lake,Jubilee Park,9601214,53.110954,-113.831375,28-Aug-17,11:06 AM,0.93,"1,940,796",No data,No data,No data,Composite,No data,No data,Slight,Green,Scums on surface,No data,NW,FALSE,0,
M171549,Yellow Lake,GPS for centre of lake provided,No data,49.749457,-111.508893,28-Aug-17,1:30 PM,0.23,"159,511",No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,24.0,NE,FALSE,0,
M171533,Yellow Lake,GPS for centre of lake provided,No data,49.749457,-111.508893,28-Aug-17,1:30 PM,0.12,"3,120",No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,24.0,NE,FALSE,0,
M181317,Baptiste Lake,Baptiste Lake South,9410415,54.724234,-113.552238,27-Jun-18,3:15 PM,<0.10,"3,291",No data,No data,No data,Composite,No data,No data,Moderate,Brown,Particles in water,20,W,TRUE,5.4,
M181267,Baptiste Lake,Baptiste Lake South,9410415,54.724234,-113.552238,31-Jul-18,3:10 PM,<0.10,"5,043",No data,No data,No data,Composite,No data,No data,Slight,Brown,Particles in water,26,No wind,FALSE,0,
M181433,Berry Creek Reservoir,Carolside Campground Beach,No data,51.258069,-111.635259,22-Aug-18,11:45 AM,35.59,"1,215,906",No data,No data,No data,Composite,No data,Noticeably large green blooms located on the east side of the reservoir and east side of the boat launch,Slight,Green,Scums on surface,No data,S,FALSE,0,
M181436,Berry Creek Reservoir,Carolside Campground Beach,No data,51.258069,-111.635259,22-Aug-18,11:57 AM,"44,805.00","1,000,000",No data,No data,No data,Grab,No data,Noticeably large green blooms located on the east side of the reservoir and east side of the boat launch,Slight,Green,Scums on surface,No data,S,FALSE,0,
M181284,Bonnie Lake,Bonnie Lake Campground Beach,9013424,54.146363,-111.881312,30-Jul-18,10:45 AM,8.33,"4,620",No data,No data,No data,Composite,No data,Horrible smell from lake,Total,Green,Scums on surface,16,NE,FALSE,0,
M181287,Bonnie Lake,Bonnie Lake Campground Beach,9013424,54.146363,-111.881312,30-Jul-18,10:45 AM,170.56,No data,No data,No data,No data,Grab,No data,Horrible smell from lake,Total,Green,Scums on surface,16,NE,FALSE,0,
M181171,Borden Park Natural Swimming Experience,Borden Park Natural Swimming Experience - Main Basin Beach,9013475,53.563302,-113.454804,6-Jul-18,2:00 PM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,21,No wind,FALSE,0,
M181173,Borden Park Natural Swimming Experience,Borden Park Natural Swimming Experience - Main Basin Beach,9013475,53.563302,-113.454804,17-Jul-18,11:30 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Green,No evidence,23,SW,FALSE,0,
M181172,Borden Park Natural Swimming Experience,Borden Park Natural Swimming Experience - Main Basin Beach,9013475,53.563302,-113.454804,24-Jul-18,2:15 PM,<0.10,"4,065",No data,No data,No data,Composite,No data,No data,Clear,Green,No evidence,23,SW,FALSE,0,
M181174,Borden Park Natural Swimming Experience,Borden Park Natural Swimming Experience - Main Basin Beach,9013475,53.563302,-113.454804,31-Jul-18,8:30 AM,<0.10,717,No data,No data,No data,Composite,No data,No data,Clear,Green,No evidence,24,SW,FALSE,0,
M181175,Borden Park Natural Swimming Experience,Borden Park Natural Swimming Experience - Main Basin Beach,9013475,53.563302,-113.454804,7-Aug-18,11:25 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Green,No evidence,23,SW,FALSE,0,
M181423,Borden Park Natural Swimming Experience,Borden Park Natural Swimming Experience - Main Basin Beach,9013475,53.563302,-113.454804,15-Aug-18,9:00 AM,<0.10,"19,489",No data,No data,No data,Composite,No data,No data,Clear,Green,No evidence,22.8,NW,FALSE,0,
M181427,Borden Park Natural Swimming Experience,Borden Park Natural Swimming Experience - Main Basin Beach,9013475,53.563302,-113.454804,21-Aug-18,10:20 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Green,No evidence,21,No wind,FALSE,0,
M181428,Borden Park Natural Swimming Experience,Borden Park Natural Swimming Experience - Main Basin Beach,9013475,53.563302,-113.454804,28-Aug-18,11:15 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Green,No evidence,18.0,W,TRUE,1,
M181026,Bullshead Reservoir,Bullshead Reservoir Provincial Recreation Area,8825087,49.677887,-110.516857,31-Jul-18,2:42 PM,27.73,"6,760,544",No data,No data,No data,Grab,No data,No data,Slight,Green,Scums on surface,19,SE,FALSE,0,
M181210,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,5-Jun-18,9:00 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Slight,Colourless,No evidence,11,SW,TRUE,8,
M181211,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,12-Jun-18,9:10 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Slight,Colourless,No evidence,9,W,TRUE,20,
M181212,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,19-Jun-18,8:05 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,17.1,No wind,FALSE,0,
M181213,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,26-Jun-18,8:05 AM,<0.10,"37,975",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,15.8,E,TRUE,6,
M181214,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,3-Jul-18,7:45 AM,<0.10,665,No data,No data,No data,Composite,No data,No data,Slight,Colourless,Particles in water,15.9,N,TRUE,6,
M181215,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,10-Jul-18,7:30 AM,<0.10,907,No data,No data,No data,Composite,No data,No data,Slight,Colourless,No evidence,18.1,E,TRUE,1,
M181216,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,19-Jul-18,7:45 AM,0.20,"3,144",No data,No data,No data,Composite,No data,No data,Slight,Green,Particles in water,18.6,W,FALSE,0,
M181217,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,24-Jul-18,7:35 AM,0.38,633,No data,No data,No data,Composite,No data,No data,Slight,Green,Particles in water,16.3,No wind,FALSE,0,
M181218,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,31-Jul-18,7:45 AM,<0.10,"41,118",No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,19.5,E,TRUE,6,
M181219,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,7-Aug-18,7:30 AM,0.39,"96,315",No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,19.1,NW,FALSE,0,
M181220,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,14-Aug-18,7:45 AM,<0.10,"10,851",No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,18.1,E,FALSE,0,
M181221,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,20-Aug-18,7:35 AM,0.15,"9,683",No data,No data,No data,Composite,No data,No data,Moderate,Green,Particles in water,15.8,E,FALSE,0,
M181222,Calling Lake,McFarlane Beach,9010225,55.182690,-113.224880,28-Aug-18,No data,No data,"72,612",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M181432,Chickakoo Lake,Chickakoo Lake - Beach,8825316,53.615789,-114.071815,16-Aug-18,3:00 PM,No data,"413,978",No data,No data,No data,Composite,No data,Heavy growth of duck weed on surface,Clear,Brown,Particles in water,18,No wind,FALSE,0,
M181437,Chin Reservoir,Chin Reservoir - Beach,8825317,49.657559,-112.265805,15-Oct-18,3:00 PM,0.11,"14,464",No data,No data,No data,Grab,No data,No data,Slight,Green,Particles in water,7,NE,FALSE,0,
M181438,Chin Reservoir,Chin Reservoir Near Stafford Reservoir - Beach,8825318,49.683160,-112.350437,15-Oct-18,3:00 PM,<0.10,"113,266",No data,No data,No data,Grab,No data,No data,Slight,Green,Particles in water,7,NE,FALSE,0,
M181059,Clear Lake,Clear Lake Park Beach,8823650,50.137976,-113.413852,27-Aug-18,10:30 AM,4.30,"1,730",No data,No data,No data,Composite,No data,No data,Moderate,Green,Scums on surface,15,N,TRUE,0.6,
M181419,Cold Lake,Cold Lake Provincial Park Beach,9601862,54.461779,-110.138833,30-Jul-18,11:00 AM,<0.10,"47,315",No data,No data,No data,Grab,No data,No data,Clear,Colourless,No evidence,20.0,W,FALSE,0,
M181391,Cold Lake,Cold Lake Provincial Park Beach,9601862,54.461779,-110.138833,9-Aug-18,11:00 AM,No data,169,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,20.5,No wind,FALSE,0,
M181390,Cold Lake,English Bay Provincial Recreation Area - Beach,9250035,54.575739,-110.217286,9-Aug-18,11:45 AM,No data,"2,279",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,20,No wind,FALSE,0,
M181420,Cold Lake,Kinosoo Beach,9622300,54.473028,-110.189271,30-Jul-18,10:45 AM,<0.10,"174,669",No data,No data,No data,Grab,No data,No data,Clear,Colourless,No evidence,19.0,W,FALSE,0,
M181389,Cold Lake,Kinosoo Beach,9622300,54.473028,-110.189271,9-Aug-18,10:00 AM,No data,"1,350",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,20,No wind,FALSE,0,
M181421,Cold Lake,Marina,No data,54.465346,-110.170802,30-Jul-18,10:00 AM,<0.10,"9,325",No data,No data,No data,Grab,No data,Water was clear on day of collection with floating algae. Reason for sampling is due to visible algae bloom noticed on Friday and throughout the weekend. Trace amounts of rain in the area. ,Moderate,Other,Particles in water,18.4,N,FALSE,0,
M181269,Fawcett Lake,GPS for centre of lake provided,No data,55.300007,-113.950016,13-Aug-18,10:30 AM,0.35,"58,139",No data,No data,No data,Composite,No data,No data,Slight,Brown,Particles in water,12.5,NE,TRUE,2,
M181380,Floatingstone Lake,Floatingstone Lake Recreation Area,9601752,54.213171,-111.626071,27-Jul-18,3:47 PM,2.72,"2,953",No data,No data,No data,Grab,No data,No data,Slight,Green,Scums on surface,24,No wind,FALSE,0,
M181259,Fork Lake,Fork Lake Campground,9621100,54.455984,-111.544427,30-Jul-18,2:45 PM,0.73,"553,222",No data,No data,No data,Composite,No data,Smell of Blue Green Algae,Moderate,Green,Streaks on surface,22.7,NE,FALSE,0,
M181202,Freeman Lake,Freeman Lake Campground - Beach,8825320,54.688229,-115.537538,21-Aug-18,2:00 PM,0.11,"26,995",No data,No data,No data,Grab,No data,No data,Slight,Brown,Particles in water,19,E,FALSE,0,
M181285,Garner Lake,Garner Lake Provincial Park,9601699,54.181109,-111.732740,9-Aug-18,10:30 AM,2.33,"1,435",No data,No data,No data,Composite,No data,No data,Clear,Colourless,Particles in water,16,NE,FALSE,0,
M181198,Goose Lake,Goose Lake Recreation Area,9010036,54.314279,-115.138469,30-Jul-18,12:30 PM,1.89,0,No data,No data,No data,Grab,No data,No data,Slight,Green,Particles in water,21,No wind,FALSE,0,
M181197,Goose Lake,Goose Lake Municipal Day Use,No data,54.307997,-115.112167,30-Jul-18,1:30 PM,4.99,"39,230",No data,No data,No data,Grab,No data,No data,Slight,Green,Scums on surface,21,No wind,FALSE,0,
M181139,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,5-Jun-18,9:35 AM,0.20,0,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,7,NW,FALSE,0,
M181140,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,12-Jun-18,9:30 AM,0.21,"9,438",No data,No data,No data,Composite,No data,Very windy,Slight,Colourless,No evidence,11,SW,TRUE,7.5,
M181147,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,19-Jun-18,9:45 AM,0.21,759,No data,No data,No data,Composite,No data,Lots of seagulls in water,Clear,Colourless,No evidence,17,S,FALSE,0,
M181144,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,26-Jun-18,11:20 AM,0.24,"185,590",No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,18,NW,FALSE,0,
M181142,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,3-Jul-18,9:30 AM,0.24,"47,795",No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,14,NW,TRUE,1,
M181145,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,10-Jul-18,9:20 AM,0.18,"1,160",No data,No data,No data,Composite,No data,No data,Moderate,Brown,No evidence,18,SW,FALSE,0,
M181146,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,17-Jul-18,9:20 AM,0.19,"22,152",No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,24,NW,FALSE,0,
M181396,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,24-Jul-18,10:00 AM,0.16,"11,603",No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,13,S,TRUE,1,
M181394,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,31-Jul-18,9:40 AM,0.17,"27,977",No data,No data,No data,Composite,No data,Lots of seagulls,Slight,Green,No evidence,18,S,TRUE,<1,
M181405,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,14-Aug-18,10:00 AM,0.18,"40,458",No data,No data,No data,Composite,No data,Lots of seagulls in/by the water,Slight,Green,No evidence,25,NW,FALSE,0,
M181400,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,21-Aug-18,10:00 AM,0.19,"139,789",No data,No data,No data,Composite,No data,Lots of seagulls and their feces in water,Slight,Green,No evidence,19,NW,FALSE,0,
M181398,Gull Lake,Aspen Beach Provincial Park Beach,No data,52.466119,-113.978361,28-Aug-18,10:20 AM,0.26,"147,009",No data,No data,No data,Composite,No data,No data,Slight,Colourless,No evidence,18,SE,TRUE,2,
M181167,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,25-Jun-18,9:50 AM,0.11,0,No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,23.0,NW,FALSE,0,
M181169,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,23-Jul-18,10:15 AM,0.42,0,No data,No data,No data,Composite,No data,No data,Moderate,Brown,No evidence,18.6,No wind,TRUE,0.5,
M181426,Hasse Lake,Hasse Lake Day Use Area,9601224,53.490020,-114.177402,20-Aug-18,10:10 AM,1.54,0,No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,17.0,No wind,FALSE,0,
M181177,Heritage Lake,Heritage Lake,9011520,53.797870,-113.664297,13-Jun-18,9:40 AM,0.25,"2,806",No data,No data,No data,Composite,No data,No data,Slight,Colourless,No evidence,15.0,SE,FALSE,0,
M181178,Heritage Lake,Heritage Lake,9011520,53.797870,-113.664297,20-Jun-18,9:20 AM,0.40,"888,987",No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,16,S,FALSE,0,
M181179,Heritage Lake,Heritage Lake,9011520,53.797870,-113.664297,27-Jun-18,9:22 AM,1.74,"7,595",No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,16,NW,FALSE,0,
M181180,Heritage Lake,Heritage Lake,9011520,53.797870,-113.664297,4-Jul-18,9:15 AM,2.21,"20,696",No data,No data,No data,Composite,No data,No data,Moderate,Green,No evidence,15,NW,TRUE,3,
M181181,Heritage Lake,Heritage Lake,9011520,53.797870,-113.664297,11-Jul-18,9:40 AM,0.51,"28,123",No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,15,NW,TRUE,3,
M181182,Heritage Lake,Heritage Lake,9011520,53.797870,-113.664297,18-Jul-18,No data,No data,"18,987",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M181183,Heritage Lake,Heritage Lake,9011520,53.797870,-113.664297,25-Jul-18,9:42 AM,6.87,"32,553",No data,No data,No data,Composite,No data,No data,Slight,Green,No evidence,15,No wind,FALSE,0,
M181164,Isle Lake,Gainford Beach,9602751,53.590493,-114.790092,18-Jun-18,10:45 AM,0.77,"786,983",No data,No data,No data,Composite,No data,No data,Total,Green,Particles in water,18.5,No wind,FALSE,0,
M181440,Jackfish Lake (Parkland County),Public Beach Area,9610366,53.484905,-114.229306,9-Aug-18,No data,No data,"131,113",No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No wind,FALSE,0,
M181293,Kehiwin Lake,Kehiwin Provincial Recreation Area,9622402,54.037753,-110.904915,2-Aug-18,11:24 AM,27.29,"103,525",No data,No data,No data,Grab,No data,No data,Moderate,Green,Scums on surface,23,No wind,TRUE,<2,
M181260,Lac La Biche,Sir Winston Churchill Provincial Park - Day Use Beach,9621462,54.839382,-111.965676,31-Jul-18,1:45 PM,1.42,"37,679",No data,No data,No data,Grab,No data,Smell of Blue Green Algae,Slight,Green,Particles in water,22.9,NE,FALSE,0,
M181201,Lac La Nonne,Camp Encounter,9380005,53.921145,-114.281768,16-Jul-18,12:30 PM,38.52,"317,256",No data,No data,No data,Grab,No data,"Organic, decomposing odour; outdoor temp 25 °C",Moderate,Brown,Scums on surface,23,W,TRUE,~5,
M181382,Lac Sante,Pelican Bay,9412002,53.828812,-111.571016,31-Jul-18,12:35 PM,2.06,"173,945",No data,No data,No data,Grab,No data,Lake is between North Zone & Central Zone; sample is from Central Zone side,Moderate,Green,Streaks on surface,23.5,W,No data,No data,
M181200,Lac Ste. Anne,Lac Ste. Anne SV West Cove Boat Launch - Beach,8825312,53.702638,-114.493872,5-Jul-18,11:50 AM,0.62,"116,034",No data,No data,No data,Grab,No data,"Organic odour noted, blue particles on shoreline; green specks noted in lake water",Slight,Green,Particles in water,20,SW,FALSE,0,
M181203,Lac Ste. Anne,Sunset Point Pentecostal Camp,9602782,53.697557,-114.348769,28-Aug-18,12:30 PM,7.56,"13,517",No data,No data,No data,Grab,No data,No data,Moderate,Green,Particles in water,14,NW,TRUE,~1,
M181435,Lake Newell,Kinbrook Island Provincial Park ,8801220,50.454796,-111.911209,22-Aug-18,2:14 PM,0.19,"28,733",No data,No data,No data,Composite,No data,Water was quite clear since there was a breeze coming from the south; earlier in the week there was green algae on the lake surface and some areas of green streaks,Clear,Green,Particles in water,No data,S,FALSE,0,
M181434,Lake Newell,Kinbrook Island Provincial Park - Day Use (Central) Beach,8801221,50.451797,-111.912445,22-Aug-18,2:00 PM,0.29,"21,198",No data,No data,No data,Composite,No data,Water was quite clear since there was a breeze coming from the south; earlier in the week there was green algae on the lake surface and some areas of green streaks,Clear,Green,Particles in water,No data,S,FALSE,0,
M181381,Laurier Lake,Laurier Lake Boat Launch - Beach,8825311,53.853426,-110.523321,27-Jul-18,3:30 PM,21.82,"289,451",No data,No data,No data,Grab,No data,No data,Total,Green,Scums on surface,26,No wind,FALSE,0,
M181288,Long Lake,Long Lake Provincial Park Main Beach,9401013,54.436185,-112.762474,30-Jul-18,2:30 PM,1.85,"36,477",No data,No data,No data,Composite,No data,No data,Slight,Colourless,Particles in water,16,No wind,FALSE,0,
M181168,Mink Lake,Mink Lake Campground,9601225,53.514650,-114.225011,23-Jul-18,9:20 AM,<0.10,0,No data,No data,No data,Grab,No data,No data,Slight,Colourless,No evidence,19.7,No wind,TRUE,0.5,
M181170,Mink Lake,Mink Lake Campground,9601225,53.514650,-114.225011,20-Aug-18,9:15 AM,0.12,"5,678",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,18.6,No wind,FALSE,0,
M181422,Mons Lake,Mons Lake,9601522,54.184300,-112.346481,30-Jul-18,11:00 AM,1.22,No data,No data,No data,No data,Grab,No data,No data,Slight,Green,Particles in water,16,NE,FALSE,0,
M181286,Mons Lake,Mons Lake,9601522,54.184300,-112.346481,30-Jul-18,11:00 AM,0.33,"29,004",No data,No data,No data,Composite,No data,No data,Slight,Green,Particles in water,16,NE,FALSE,0,
M181377,Moose Lake,Moose Lake East (Vezeau),9622236,54.257543,-110.828040,20-Jul-18,11:58 AM,1.89,"250,612",No data,No data,No data,Composite,No data,No data,Moderate,Green,Scums on surface,19,NW,TRUE,<2,
M181378,Moose Lake,Moose Lake East (Vezeau),9622236,54.257543,-110.828040,20-Jul-18,11:58 AM,1.55,"224,008",No data,No data,No data,Grab,No data,No data,Moderate,Green,Scums on surface,19,NW,TRUE,<2,
M181375,Moose Lake,Moose Lake Provincial Park Beach,9010258,54.268964,-110.917657,20-Jul-18,11:13 AM,2.22,"41,498",No data,No data,No data,Composite,No data,No data,Moderate,Green,Scums on surface,23,NW,TRUE,<2,
M181376,Moose Lake,Moose Lake Provincial Park Beach,9010258,54.268964,-110.917657,20-Jul-18,11:00 AM,2.36,"100,350",No data,No data,No data,Grab,No data,No data,Total,Green,Particles in water,23,SW,TRUE,<2,
M181373,Moose Lake,Pelican Point Campground,9622426,54.252535,-110.956415,20-Jul-18,10:15 AM,2.82,"105,865",No data,No data,No data,Composite,No data,No data,Moderate,Green,Scums on surface,23,NW,TRUE,<2,
M181374,Moose Lake,Pelican Point Campground,9622426,54.252535,-110.956415,20-Jul-18,10:30 AM,2.72,"126,751",No data,No data,No data,Grab,No data,No data,Moderate,Green,Particles in water,23,SW,TRUE,<2,
M181379,Moose Lake,Pelican Point Campground,9622426,54.252535,-110.956415,20-Jul-18,10:30 AM,0.88,"11,773",No data,No data,No data,Grab,No data,No data,Moderate,Green,Particles in water,21,SW,TRUE,<2,
M181030,Murray Lake,Murray Lake - Beach,8825307,49.825356,-110.936642,13-Jun-18,3:16 PM,<0.10,"218,451",No data,No data,No data,Grab,No data,No data,Slight,Green,Particles in water,15,SW,FALSE,0,
M181209,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,29-May-18,9:20 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,19.5,E,No data,No data,
M181264,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,5-Jun-18,9:25 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,16.8,E,FALSE,0,
M181265,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,12-Jun-18,9:50 AM,<0.10,"11,603",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,13,E,TRUE,5.9,
M181310,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,18-Jun-18,9:25 AM,<0.10,"11,814",No data,No data,No data,Composite,No data,No data,Clear,Colourless,Particles in water,19.0,W,FALSE,0,
M181266,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,26-Jun-18,9:50 AM,<0.10,"179,325",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,No data,E,TRUE,5.2,
M181318,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,3-Jul-18,9:40 AM,0.16,"45,928",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,20.3,W,TRUE,16.4,
M181319,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,10-Jul-18,9:55 AM,0.10,"1,425,928",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,20.2,SW,TRUE,1.6,
M181321,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,17-Jul-18,9:50 AM,0.11,"181,860",No data,No data,No data,Composite,No data,No data,Clear,Colourless,No evidence,21.6,E,TRUE,13.5,
M181322,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,24-Jul-18,9:45 AM,0.11,"176,835",No data,No data,No data,Composite,No data,No data,Clear,Brown,No evidence,19.9,E,TRUE,0.1,
M181323,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,31-Jul-18,9:55 AM,<0.10,"95,063",No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,22.6,NW,TRUE,0.2,
M181268,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,7-Aug-18,9:40 AM,<0.10,0,No data,No data,No data,Composite,No data,No data,Slight,Brown,Particles in water,21.8,N,FALSE,0,
M181270,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,14-Aug-18,9:55 AM,0.10,"62,056",No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,18.2,N,TRUE,8.5,
M181271,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,21-Aug-18,9:35 AM,0.10,"164,029",No data,No data,No data,Composite,No data,No data,Slight,Brown,No evidence,18.1,SW,FALSE,0,
M181272,North Buck Lake,North Buck Lake - Day Use,9621641,54.660452,-112.517470,28-Aug-18,No data,No data,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
M181199,Peanut Lake,Peanut Lake Boat Launch - Beach,8825313,54.019315,-114.351101,18-Jul-18,9:30 AM,6.50,"137,610",No data,No data,No data,Grab,No data,No data,Clear,Colourless,Particles in water,20,E,TRUE,8,
